企業名,証券コード,EDINETコード,docID,帳簿価額（元単位）,時価（元単位）,含み益（元単位）,元単位,ソースファイル,注記,帳簿価額_百万円,時価_百万円,含み益_百万円
昭和パックス株式会社,3954,E00686,S100W6QJ,813356.0,2221802.0,1408446.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00686-000_2025-03-31_01_2025-06-27_ixbrl.htm,,813.356,2221.802,1408.4460000000001
株式会社モリタホールディングス,6455,E01653,S100VZZM,27671.0,29078.0,1407.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E01653-000_2025-03-31_01_2025-06-20_ixbrl.htm,,27671.0,29078.0,1407.0
株式会社帝国ホテル,9708,E04539,S100W0PW,9512.0,10916.0,1404.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04539-000_2025-03-31_01_2025-06-20_ixbrl.htm,,9512.0,10916.0,1404.0
株式会社　ヤマダコーポレーション,6392,E02180,S100W643,19273589.0,20656744.0,1383155.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E02180-000_2025-03-31_01_2025-06-26_ixbrl.htm,,19273.589,20656.744,1383.155
三谷商事株式会社,8066,E02602,S100W8XJ,323402.0,324771.0,1369.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E02602-000_2025-03-31_01_2025-06-30_ixbrl.htm,,323402.0,324771.0,1369.0
明海グループ株式会社,9115,E04242,S100W5GZ,8980816.0,10336682.0,1355866.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04242-000_2025-03-31_01_2025-06-27_ixbrl.htm,,8980.816,10336.682,1355.866
株式会社アカツキ,3932,E32200,S100W6VM,2898.0,4252.0,1354.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E32200-000_2025-03-31_01_2025-06-26_ixbrl.htm,,2898.0,4252.0,1354.0
川岸工業株式会社,5921,E01381,S100XBJH,456477.0,1802007.0,1345530.0,千円,XBRL/PublicDoc/0105400_honbun_jpcrp030000-asr-001_E01381-000_2025-09-30_01_2025-12-22_ixbrl.htm,,456.47700000000003,1802.007,1345.53
森尾電機株式会社,6647,E01912,S100W5YG,684410.0,2028390.0,1343980.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E01912-000_2025-03-31_01_2025-06-26_ixbrl.htm,,684.41,2028.39,1343.98
株式会社電業社機械製作所,6365,E01544,S100W47A,117.0,1457.0,1340.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E01544-000_2025-03-31_01_2025-06-26_ixbrl.htm,,117.0,1457.0,1340.0
